行政區,型式,場名,位置,經度,緯度,大型車,小型車,機慢車,收費標準,管理者資訊
梓官區,平面,蚵仔寮,"A區：漁港一路&港七街口旁(漁市場對面)(94格)
B區：中正路75號後方(全聯後面)(36格)
C區：嘉好路26巷385弄口(7格)",120.255335,22.727433,0,163,72,A區計時(15元/半小時),"A區：竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.8.6-113.7.31
B區：全聯實業無償公益認養
C區：-"
楠梓區,平面,歡樂17,軍校路&後昌路837巷口旁,120.292951,22.710270,0,36,22,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:107.6.1-112.5.31
楠梓區,平面,廣昌,右昌忠義9巷&廣昌街113巷,120.285434,22.705880,0,57,68,計次(30元/6小時),宜舍企業股份有限公司/服務電話：5314002/履約期間:111.5.1-112.6.30
楠梓區,平面,立民,立民路、立仁路,120.336768,22.742243,0,32,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
楠梓區,平面,常德,常順路、常德街32巷,120.336679,22.731953,0,30,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
楠梓區,平面,常順,常順路32巷、當興街115巷,120.337002,22.732167,0,78,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
楠梓區,平面,青埔,青埔街50巷,120.323657,22.729683,0,39,16,計次(30元/6小時),竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:110.8.1-115.7.31
楠梓區,平面,清豐,土庫二路與清豐三路口,120.327289,22.737587,0,44,92,計次(30元/6小時),竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:110.8.1-115.7.31
楠梓區,平面,楠梓運動場,東寧路、楠裕街口,120.331818,22.732346,0,143,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
楠梓區,平面,樂群,樂群路、加宏路,120.296781,22.718470,0,34,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:110.8.1-115.7.31
楠梓區,平面,三山,三山街、福興街,120.282675,22.715993,0,99,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
楠梓區,平面,惠民,惠民路、壽豐路間,120.294092,22.723361,0,63,68,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
楠梓區,平面,加昌,加昌路、軍校路880巷31弄,120.292831,22.712932,0,96,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:110.8.1-115.7.31
楠梓區,平面,後昌,後昌路862-1號旁,120.294523,22.712423,0,13,10,計時(15元/半小時),竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:110.8.1-115.7.31
楠梓區,平面,大昌,右昌街79巷、右昌街79巷132弄交叉口,120.288766,22.707539,0,13,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
楠梓區,平面,都會公園,德民路、高楠公路、監理南街,120.320034,22.731411,36,287,281,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
楠梓區,平面,高楠公路,高楠公路1872巷,120.321049,22.732453,0,99,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
楠梓區,平面,智昌,智昌街、勇昌街,120.287700,22.720846,0,83,0,計次(30元/6小時),-
楠梓區,平面,清安,清安街29號旁,120.338605,22.737417,0,58,11,計次(30元/6小時),-
楠梓區,平面,惠豐,加昌路18巷,120.321295,22.725562,0,44,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.6.1-116.5.31
左營區,平面,微笑,自由三路161號對面,120.311184,22.671386,0,145,0,計次(30元/6小時),日月亭股份有限公司/服務電話：(07)350-4375/履約期限:109.10.1-114.9.30
左營區,平面,富民,富民路&太原街口旁,120.305613,22.667631,0,38,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)223-9489/履約期間:107.6.1-112.5.31
左營區,平面,龍華,大順一路&龍德新路口旁,120.310953,22.655956,0,75,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.10.1-113.7.31
左營區,平面,曾子,自由三路與曾子路路口,120.312769,22.676598,0,37,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
左營區,平面,東門,翠華路601巷&城峰路口旁,120.290112,22.674278,0,42,0,計次(30元/6小時),翔赫企業有限公司/服務電話:0937626880/履約期間:108.5.1-113.4.30
左營區,平面,左營站前,站前路&站前南路口,120.305205,22.686938,25,248,500,"機車每日每次15元
小型車計時(15元/半小時)
大型車計時(30元/半小時)",日月亭股份有限公司/服務電話：(07)350-4375/履約期限:109.12.1-114.11.30
左營區,平面,左營大路,左營大路&左營大路672巷&菜公路與左營下路,120.298629,22.691753,0,166,0,計次(30元/6小時),台灣普客二四股份有限公司/服務電話:0800-888924/履約期間:106.12.1-112.11.30
左營區,平面,重平,重平路、華夏路口,120.310609,22.685068,0,54,0,計時(15元/半小時),五都停車場股份有限公司/服務電話﹕0923-970000/履約期間:110.2.01-115.1.31
左營區,平面,重和,重和路、華夏路口,120.311382,22.685519,0,160,0,計時(15元/半小時),五都停車場股份有限公司/服務電話﹕0923-970000/履約期間:110.2.01-115.1.31
左營區,平面,華夏,華夏路、曾子路,120.305962,22.680966,0,36,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
左營區,平面,文水,文水路、華夏路,120.306211,22.681092,0,93,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
左營區,平面,辛亥,裕誠路、辛亥路,120.310052,22.664795,0,43,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.11.1-115.10.31
左營區,平面,環潭,環潭路332之1號旁,120.299988,22.686159,0,32,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:111.1.1-115.12.31
左營區,平面,海光,勝利路、新莊仔路口,120.292626,22.678690,40,73,71,"大型車：計次(60元/6小時)
小型車：計次(30元/6小時)",竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.11.1-115.10.31
左營區,平面,榮光,榮光街、榮總路,120.321603,22.684962,0,26,24,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.11.1-115.10.31
左營區,平面,果貿市場,翠華路、中華一路,120.288109,22.668348,0,13,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.11.1-115.10.31
左營區,平面,左營北站,左營大路、進學路,120.295380,22.690465,0,54,0,計次(30元/6小時),-
左營區,平面,舊左營國中,新庄子路、勝利路,120.293234,22.677951,0,142,0,計次(30元/6小時),-
左營區,平面,埤子頭,左營大路6巷81號對面,120.289508,22.680342,0,46,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.6.1-116.4.30
鼓山區,平面,華泰,華泰路&華泰路211巷路口,120.293023,22.669561,0,32,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:106.12.26-111.12.25
鼓山區,平面,前峰,內惟路&銘傳路口旁,120.282337,22.666703,0,65,0,計次(30元/6小時),和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:108.7.1-111.9.30
鼓山區,平面,河川,河川街&綠川街口,120.283772,22.635222,0,22,11,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,濱海,濱海二路&臨海二路,120.269812,22.623975,0,26,36,"平日：計時(15元/半小時)
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,臨海二路,臨海二路&捷興街口,120.274466,22.621335,0,12,30,"平日：計時(15元/半小時)
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,哨船,哨船街85號&哨船街80-3號,120.269215,22.623574,0,21,9,"平日：計時(15元/半小時)
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,龍德,龍德新路&新德路口,120.304694,22.654402,0,39,0,"平日：計時(15元/半小時)
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,南鼓山,臨海二路&捷興二街,120.274630,22.621624,0,28,0,"平日：計時(15元/半小時)
假日：計時20元/半小時",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鼓山區,平面,裕興,中華一路29巷20弄、近中華一路,120.290198,22.667319,0,22,0,計次(30元/6小時),-
鼓山區,平面,廣三,鼓山一路,120.274421,22.620612,0,9,0,"平日：計次(30元/6小時)
假日：計時(15元/半小時)",-
鼓山區,平面,厚泰,九如四路、厚安街口,120.279546,22.645825,0,61,0,不收費,-
鼓山區,平面,柴山機車,青泉街、青泉街126巷口,120.274536,22.654128,0,0,150,不收費,-
三民區,平面,民族一路,民族一路、九如二路(民族陸橋下西側),120.31379,22.639833,0,110,12,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.10.1-114.9.30
三民區,平面,臥龍,九如一路&臥龍路口旁,120.329918,22.638336,0,28,0,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.8.1-113.7.31
三民區,平面,明仁,明仁路&明吉路口旁,120.313188,22.662663,0,111,0,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)7161838/履約期間:107.12.1-110.11.30
三民區,平面,陽明,陽明路&義華路口旁,120.342197,22.642932,0,48,0,計時(15元/半小時),寶盛國際股份有限公司/服務電話:(02)26550818/履約期間:108.6.1-113.5.31
三民區,平面,正興,正興路&正興路163巷口旁,120.319689,22.646561,0,139,46,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:108.3.1-113.3.31
三民區,平面,澄東,文安南街&褒揚東街口旁,120.346381,22.640290,0,127,0,計時(15元/半小時),寶盛國際股份有限公司/服務電話:(02)26550818/履約期間:108.6.1-113.5.31
三民區,平面,寶華,陽明路16巷內,120.342022,22.637446,0,91,46,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
三民區,平面,本和,鼎勇街&大園街口旁,120.325242,22.657448,0,153,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)380-7433/履約期間:111.04.1-112.5.31
三民區,平面,金鼎,金山路&金山路18巷,120.326025,22.66334,0,36,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-112.5.31
三民區,平面,鼎泰,裕誠路、鼎瑞街,120.315139,22.663858,0,62,83,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
三民區,平面,金山,金山路、金山路360巷,120.318690,22.661921,0,8,17,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
三民區,平面,三民二號公園,同協路、安東街口,120.295634,22.648421,0,51,25,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.9.1-115.8.31
三民區,平面,皓東,正忠路&皓東路17巷口,120.331212,22.648507,0,89,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
三民區,平面,金獅湖,鼎金一巷,120.328285,22.665892,0,37,42,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
三民區,平面,龍江公園,龍江街、復興一路口,120.308364,22.639894,0,29,47,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
仁武區,平面,竹後,水管路北側、竹後社區活動中心旁,120.337235,22.706409,0,36,0,計次(30元/6小時),和雲行動服務股份有限公司/服務電話:(07)3461515/履約期間:109.4.1-114.3.31
仁武區,平面,八卦里,永仁街、永新二街,120.332101,22.682962,0,60,24,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
仁武區,平面,澄德段停一,八德東路與京吉6路,120.341440,22.685134,0,114,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.11.1-115.9.30
仁武區,平面,仁和公園,仁和公園內,120.352465,22.680995,0,55,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
仁武區,平面,慈惠,赤仁路60號對面,120.347985,22.675948,0,59,0,計次(30元/6小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:111.1.1-115.12.31
仁武區,平面,八德小型車,八德南路與京吉一路口,120.340232,22.680970,0,122,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)2239489/履約期間:110.10.1-115.9.30
仁武區,平面,八德大型車,八德南路&澄觀路口旁,120.340526,22.680336,79,0,0,大型車計次60元/6小時,辰淵企業份有限公司/服務電話：0928322201/履約期間:111.3.1-112.6.30
仁武區,平面,澄觀大型車,八德西路&京富路口旁(澄觀派出所旁),120.330974,22.677131,149,10,0,"大型車計次(60元/6小時)
小型車計次(30元/6小時)",蔚穩有限公司/服務電話:(07)3808719；0963066773/履約期間:107.7.1-112.6.30
仁武區,平面,仁慈公園,仁慈公園旁,120.359018,22.671833,0,35,0,計次(30元/6小時),-
仁武區,平面,"澄仁
(仁雄段停十一)",澄仁路56巷旁,120.345208,22.679218,0,40,48,計次(30元/6小時),-
仁武區,平面,"慈惠六街
(育才公21)",慈惠六街,120.351436,22.674312,0,119,0,計次(30元/6小時),-
仁武區,平面,金鼎段停九,大豐路及大春路口,120336655,22.676219,0,81,0,計次(30元/6小時),全盈光電有限公司維護管理/服務電話：0800-035-518/履約期間:111.9.1-121.7.31
仁武區,平面,澄合段停九,八德東路上（笙曜企業有限公司「仁武廠」隔壁）,120.347113,22.687720,0,59,0,計次(30元/6小時),全盈光電有限公司維護管理/服務電話：0800-035-518/履約期間:111.9.1-121.7.31
新興區,平面,忠孝一路,中正三路&忠孝一路,120.306104,22.630911,0,40,7,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:109.11.1-112.5.31
新興區,平面,復興二路,復興二路&近新田路,120.308460,22.624370,0,100,0,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:109.11.1-112.5.31
新興區,平面,錦田機車,中正三路&錦田路,120.310186,22.631477,0,0,124,不收費,-
前金區,平面,成功機車,成功一路&前金二街,120.292778,22.627100,0,0,60,不收費,-
前金區,平面,六合夜市,六合二路&瑞源路,120.297210,22.631336,14,35,0,"大型車計時30元/半小時
小型車計時(15元/半小時)",日月亭股份有限公司/服務電話:(07)531-4002/履約期間:109.11.1-114.10.31
前金區,平面,自強三路,自強三路&光明街,120.297242,22.620724,0,50,0,"平日：計時(15元/半小時)
假日：計時(20元/半小時)",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鹽埕區,平面,公園,公園路&大義街,120.285361,22.619660,30,346,251,"小型車平日：計次(50元/6小時)
小型車假日：計時(15元/半小時)
大客車：計時(30元/半小時)",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
苓雅區,平面,苓中,苓雅一路&文橫二路,120.305089,22.619044,0,69,47,"平日：計時(15元/半小時)
假日：計時(20元/半小時)",阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
苓雅區,平面,輔仁,輔仁路&輔仁路89巷,120.332024,22.625397,0,27,46,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
苓雅區,平面,允文,允文街&永明街,120.294856,22.618606,0,13,16,計時(15元/半小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568/履約期間:110.9.1-115.8.31
苓雅區,平面,福裕,福德三路&福德三路133巷,120.327201,22.622703,0,114,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568/履約期間:110.9.1-115.8.31
苓雅區,平面,英明,英明路&英明路163巷,120.324380,22.617353,0,96,32,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:109.11.1-114.10.31
苓雅區,平面,同慶,凱旋路&同慶路,120.322928,22.627924,0,111,94,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568履約期間:110.12.1-115.11.30
苓雅區,平面,金馬,三多一路&輔仁路,120.333710,22.623718,13,178,28,"大型車計時(30元/半小時)
小型車計次(30元/6小時)",竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568履約期間:110.10.1-115.09.30
苓雅區,平面,林德官,廣州一街&廣東一街3巷&三多二路&和平一路11巷&和平一路39巷,120.319217,22.618869,0,228,24,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:109.10.1-114.9.30
苓雅區,平面,正德,福德二路264巷&建國一路140巷25弄,120.328900,22.635300,0,14,0,計次(30元/6小時),和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.9.16-114.9.15
苓雅區,平面,福德,建國一路&福德二路,120.328076,22.632876,0,35,55,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)235-1637/履約期間:109.11.1-114.10.31
苓雅區,平面,樂仁,樂仁路125巷6弄&大順三路305巷,120.325241,22.636993,0,24,0,計時(15元/半小時),-
苓雅區,平面,建軍,三多一路&建軍路,120.342225,22.626156,0,46,22,計時(15元/半小時),-
苓雅區,平面,正憲,憲政路242巷&安康路20巷,120.321546,22.637120,0,52,0,計次(30元/6小時),-
鳳山區,平面,竹子腳,瑞竹路&瑞順街,120.368627,22.628503,0,17,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568/履約期間:110.8.1-115.7.31
鳳山區,平面,二聖,二聖路&凱旋三路,120.328228,22.612103,0,120,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568/履約期間:110.8.1-115.7.31
